Capgemini HMS Backend – Complete API Reference (Static Analysis),,,,,,,,,,,,,,,,,,,,,,,,
Controller,Method,Endpoint,Description,Access,Expected JSON Response,Status Code,Module / Service Name,Full URL,Path Variables,Query Params,Request Headers,Request Body (DTO),Request DTO Structure,Response DTO Structure,Business Logic Flow,Database Impact,Relationships Used,Security Details,Validation Rules,Error Scenarios,Side Effects,Idempotency,Transactional Behavior,External Calls,Audit / Logging,Performance Considerations
Auth,POST,/api/v1/auth/signup,Register a new user account with roles,Public,"{""success"":true,""message"":""User registered successfully!""}",201 Created,Auth / UserRepository + RoleRepository,/api/v1/auth/signup,None,None,"Content-Type: application/json; X-XSRF-TOKEN (cookie)","SignupRequest: {username, email, password, role[], patientSsn?, staffId?}","username: String | @NotBlank @Size(3-20) | Unique username; email: String | @NotBlank @Size(max=50) @Email | Valid email; password: String | @NotBlank @Size(6-40) | Account password; role: Set<String> | Optional | Options: admin/doctor/nurse/patient; patientSsn: Integer | Conditional | Required if role=patient; staffId: Integer | Conditional | Required if role=doctor or nurse","ApiResponse<String>: {success: Boolean; message: String}","1. Validate @Valid on SignupRequest. 2. Check userRepository.existsByUsername() → 400 if taken. 3. Check userRepository.existsByEmail() → 400 if taken. 4. For role=admin: checks current session for ROLE_ADMIN authority → 403 if missing. 5. For role=doctor: validates staffId exists in physician table. 6. For role=nurse: validates staffId exists in nurse table. 7. For role=patient: validates patientSsn exists in patient table. 8. BCrypt-encodes password. 9. Saves User + Roles to DB.","Tables: users (INSERT); user_roles (INSERT); reads: roles | Operation: INSERT","User → ManyToMany → Roles","permitAll() in WebSecurityConfig; Admin role creation requires active ROLE_ADMIN session","@NotBlank @Size(3-20) username; @NotBlank @Email email; @NotBlank @Size(6-40) password; staffId required for doctor/nurse; patientSsn required for patient","400: Username taken; 400: Email in use; 403: Non-admin trying to create admin; 500: Role not found in DB; 500: StaffId/SSN not found","None","No – duplicate username/email check prevents true idempotency","No @Transactional; risk of partial save if role save fails","None","None","Low volume; no pagination needed"
Auth,POST,/login,Authenticate user (handled by Spring Security form login),Public,"{""redirect"": ""/dashboard""}",302 Redirect,Spring Security / UserDetailsServiceImpl,/login,None,None,"Content-Type: application/x-www-form-urlencoded; X-XSRF-TOKEN","Form body: {username, password, _csrf}","username: String; password: String; _csrf: CSRF token from XSRF-TOKEN cookie","Redirect to role dashboard on success; or /login?error on failure","1. Spring Security intercepts POST /login. 2. UserDetailsServiceImpl.loadUserByUsername() called. 3. BCryptPasswordEncoder matches password. 4. On success: CustomAuthenticationSuccessHandler fires → redirects by role (ADMIN→/dashboard, DOCTOR→/appointments, NURSE→/patients, PATIENT→/stays/my).","Table: users (SELECT), user_roles (SELECT) | Operation: SELECT","User → ManyToMany → Roles","formLogin().permitAll(); Session created (IF_REQUIRED policy)","Non-null username and password","401: Bad credentials (redirect to /login?error)","Creates server-side session (JSESSIONID cookie set) and XSRF-TOKEN cookie","No","N/A — Stateful session creation","None","None","High volume auth endpoint; BCrypt hashing cost"
Auth,POST,/logout,Invalidate session and clear auth cookies,Any Authenticated,"{""redirect"": ""/login?logout""}",302 Redirect,Spring Security,/logout,None,None,"X-XSRF-TOKEN: <token>","None (POST form with _csrf field)","None","Redirect to /login?logout","1. Spring Security intercepts POST /logout. 2. Invalidates HttpSession. 3. Deletes JSESSIONID and XSRF-TOKEN cookies. 4. Redirects to /login?logout.","Table: spring_session (DELETE if using DB sessions) | Operation: DELETE (session)","None","logout().permitAll(); CSRF token required on POST","None","401: If session already invalid","JSESSIONID and XSRF-TOKEN cookies cleared","No","N/A — session destruction","None","None","Low overhead"
Patient,GET,/api/v1/patients/me,Get the clinical profile of the currently logged-in patient,PATIENT only,"{""success"":true,""data"":{""ssn"":100000001,""name"":""John Smith""}}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients/me,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","PatientDTO: {ssn: Integer; name: String; address: String; phone: String; insuranceId: String; pcpId: Integer}","1. Extract patientSsn from SecurityContext (UserDetailsImpl.getPatientSsn()). 2. Throw 500 if account not linked to patient record. 3. Call patientService.getPatientBySsn(ssn). 4. Filter: isDeleted=false. 5. Return PatientDTO.","Table: patient (SELECT by PK) | Operation: SELECT","Patient → ManyToOne → Physician (PCP)","Requires authenticated session; PATIENT role; SessionCreationPolicy.IF_REQUIRED","None on read","404: Patient record not found or deleted; 500: Account not linked to patient SSN","None","Yes — identical calls return same result","No","None","None","Single row lookup by PK; no N+1"
Patient,PUT,/api/v1/patients/me,Update the current patient's own profile,PATIENT only,"{""success"":true,""message"":""Profile updated successfully""}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients/me,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","PatientDTO: {name, address, phone, insuranceId, pcpId?}","name: String | @NotBlank @Size(2-255); address: String | @NotBlank; phone: String | @NotBlank @Pattern(regex); insuranceId: String | @NotNull @Pattern([A-Z0-9]{5-20}); pcpId: Integer | Optional","PatientDTO (updated record)","1. Extract patientSsn from SecurityContext. 2. dto.setSsn(ssn) — prevents SSN tampering. 3. Convert to Patient entity (fetches PCP physician if pcpId provided). 4. patientService.updatePatient(patient). 5. Filter isDeleted=false. 6. Save and return updated DTO.","Table: patient (SELECT + UPDATE) | Operation: SELECT + UPDATE","Patient → ManyToOne → Physician","PATIENT role; ownership enforced via SecurityContext SSN injection","@NotBlank name; @Pattern phone; @Pattern insuranceId","400: Validation failure; 404: Patient not found or deleted; 500: PCP physician not found","None","Yes — same payload = same result","@Transactional on updatePatient","None","None","Single row update; no complex joins"
Patient,GET,/api/v1/patients,Get paginated list of all active patients,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...],""page"":0,""size"":10}}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients,None,"page (int); size (int); sort (string)","Cookie: JSESSIONID","None","None","PagedResponse<PatientDTO>: {content: PatientDTO[]; page; size; totalElements; totalPages; last}","1. @PreAuthorize checks ADMIN/DOCTOR/NURSE. 2. patientService.getAllPatients(pageable). 3. Repository query: findAllActive (WHERE is_deleted=false). 4. Map to DTOs. 5. Return PagedResponse.","Table: patient (SELECT with pagination) | Operation: SELECT","Patient → ManyToOne → Physician (PCP)","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403: Insufficient role; 401: No session","None","Yes","No","None","None","Paginated; Spring Data pagination handles N+1 with JOIN FETCH recommended"
Patient,GET,/api/v1/patients/{ssn},Get patient by SSN,ADMIN / DOCTOR / NURSE; PATIENT (own record only),"{""success"":true,""data"":{""ssn"":100000001,...}}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients/{ssn},ssn: Integer (Patient SSN),None,"Cookie: JSESSIONID","None","None","PatientDTO: {ssn; name; address; phone; insuranceId; pcpId}","1. @PreAuthorize: ADMIN/DOCTOR/NURSE always allowed; PATIENT only if #ssn==principal.patientSsn. 2. patientService.getPatientBySsn(ssn). 3. Filter isDeleted=false. 4. Return DTO.","Table: patient (SELECT by PK) | Operation: SELECT","Patient → ManyToOne → Physician","@PreAuthorize with SpEL ownership check for PATIENT role; PatientIdentityManager also enforced via security config","None","403: PATIENT accessing another patient's record; 404: Not found or deleted","None","Yes","No","None","None","Single PK lookup; fast"
Patient,POST,/api/v1/patients,Register a new patient,ADMIN / NURSE,"{""success"":true,""message"":""Patient registered successfully""}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","PatientDTO: {ssn, name, address, phone, insuranceId, pcpId?}","ssn: Integer | @NotNull; name: String | @NotBlank @Size(2-255); address: String | @NotBlank; phone: String | @NotBlank @Pattern; insuranceId: String | @NotNull @Pattern([A-Z0-9]{5-20}); pcpId: Integer | Optional","PatientDTO (created record)","1. @PreAuthorize ADMIN/NURSE. 2. Convert DTO to entity (lookup PCP by pcpId). 3. patientService.registerPatient() — checks if SSN already exists. 4. If exists and isDeleted=true: reactivates + updates. 5. If exists and isDeleted=false: throw 500 conflict. 6. Save and return DTO.","Table: patient (SELECT by PK; INSERT or UPDATE) | Operation: INSERT / UPDATE (reactivation)","Patient → ManyToOne → Physician","@PreAuthorize hasAnyRole('ADMIN','NURSE')","@NotNull ssn; @NotBlank @Size name; @Pattern phone; @Pattern insuranceId","400: Validation failure; 403: Insufficient role; 409 (via RuntimeException): Patient SSN already active; 500: PCP not found","None","No — duplicate SSN conflict handled","@Transactional on registerPatient","None","None","Low volume; PCP lookup is additional query"
Patient,PUT,/api/v1/patients/{ssn},Update an existing patient record,ADMIN / NURSE,"{""success"":true,""message"":""Patient updated successfully""}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients/{ssn},ssn: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","PatientDTO: {name, address, phone, insuranceId, pcpId?}","name: String | @NotBlank @Size(2-255); address: String | @NotBlank; phone: String | @NotBlank @Pattern; insuranceId: String | @NotNull @Pattern([A-Z0-9]{5-20}); pcpId: Integer | Optional","PatientDTO (updated)","1. @PreAuthorize ADMIN/NURSE. 2. dto.setSsn(ssn) from path. 3. Lookup PCP if pcpId set. 4. patientService.updatePatient() — findById + filter isDeleted=false. 5. Update all fields. 6. Save.","Table: patient (SELECT + UPDATE) | Operation: UPDATE","Patient → ManyToOne → Physician","@PreAuthorize hasAnyRole('ADMIN','NURSE')","@NotBlank name; @Pattern phone; @Pattern insuranceId","400: Validation; 403: Role; 404: Patient not found or deleted","None","Yes","@Transactional on updatePatient","None","None","Single row update"
Patient,GET,/api/v1/patients/search,Search patients by name or phone,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients/search,None,"query: String (required); page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<PatientDTO>","1. @PreAuthorize. 2. patientService.searchPatients(query, pageable). 3. Repository: searchActive — LIKE search on name and phone WHERE is_deleted=false. 4. Return paged results.","Table: patient (SELECT with LIKE) | Operation: SELECT","Patient → ManyToOne → Physician","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","query param required","400: Missing query param; 403: Role","None","Yes","No","None","None","LIKE query on unindexed columns → potential full-table scan at scale; add index on name/phone"
